Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
WJYIASZWHGOTOU-UHFFFAOYSA-N;IMNFDUFMRHMDMM-UHFFFAOYSA-N;CCCCCCCN;CCCCCCC;-6.1665114
FKRCODPIKNYEAC-UHFFFAOYSA-N;ZNQVEEAIQZEUHB-UHFFFAOYSA-N;CCC(=O)OCC;CCOCCO;-4.58406558
XDTMQSROBMDMFD-UHFFFAOYSA-N;KFZMGEQAYNKOFK-UHFFFAOYSA-N;C1CCCCC1;CC(C)O;-3.45153987
LFQSCWFLJHTTHZ-UHFFFAOYSA-N;KWOLFJPFCHCOCG-UHFFFAOYSA-N;CCO;CC(=O)c1ccccc1;-3.96326346
KFZMGEQAYNKOFK-UHFFFAOYSA-N;ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;CC(C)O;CC(C)OC(C)C;-3.8581053
ICMAFTSLXCXHRK-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;CCCCC(=O)OCC;O;-2.49
KVNRLNFWIYMESJ-UHFFFAOYSA-N;ZSIAUFGUXNUGDI-UHFFFAOYSA-N;CCCC#N;CCCCCCO;-4.32347628
YXFVVABEGXRONW-UHFFFAOYSA-N;MVPPADPHJFYWMZ-UHFFFAOYSA-N;Cc1ccccc1;c1ccc(cc1)Cl;-5.21155539
HRYZWHHZPQKTII-UHFFFAOYSA-N;MVPPADPHJFYWMZ-UHFFFAOYSA-N;CCCl;c1ccc(cc1)Cl;-2.96057118
RTZKZFJDLAIYFH-UHFFFAOYSA-N;KZVBBTZJMSWGTK-UHFFFAOYSA-N;CCOCC;CCCCOCCOCCOCCCC;-3.0163788
OTMSDBZUPAUEDD-UHFFFAOYSA-N;DIOQZVSQGTUSAI-UHFFFAOYSA-N;CC;CCCCCCCCCC;-0.88807911
XNLICIUVMPYHGG-UHFFFAOYSA-N;DCAYPVUWAIABOU-UHFFFAOYSA-N;CCCC(=O)C;CCCCCCCCCCCCCCCC;-3.75848178
BZLVMXJERCGZMT-UHFFFAOYSA-N;ATHHXGZTWNVVOU-UHFFFAOYSA-N;CC(C)(C)OC;C/N=C/O;-3.0832557
DKGAVHZHDRPRBM-UHFFFAOYSA-N;LCEDQNDDFOCWGG-UHFFFAOYSA-N;CC(C)(C)O;C1COCCN1C=O;-4.44754446
RYHBNJHYFVUHQT-UHFFFAOYSA-N;RDOXTESZEPMUJZ-UHFFFAOYSA-N;C1COCCO1;COc1ccccc1;-5.08056891
UUIQMZJEGPQKFD-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;CCCC(=O)OC;O;-2.83
SNHMUERNLJLMHN-UHFFFAOYSA-N;ZMXDDKWLCZADIW-UHFFFAOYSA-N;c1ccc(cc1)I;CN(C)C=O;-7.09425543
ULYZAYCEDJDHCC-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;CC(C)Cl;O;-0.25
LVZWSLJZHVFIQJ-UHFFFAOYSA-N;LRHPLDYGYMQRHN-UHFFFAOYSA-N;C1CC1;CCCCO;-1.71896694
LYGJENNIWJXYER-UHFFFAOYSA-N;MHDVGSVTJDSBDK-UHFFFAOYSA-N;C[N+](=O)[O-];c2ccc(COCc1ccccc1)cc2;-4.35068826
YWAKXRMUMFPDSH-UHFFFAOYSA-N;AJFDBNQQDYLMJN-UHFFFAOYSA-N;CCCC=C;CCN(CC)C(=O)C;-2.61949899
UFWIBTONFRDIAS-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;c1ccc2ccccc2c1;O;-2.4
IMNFDUFMRHMDMM-UHFFFAOYSA-N;RDOXTESZEPMUJZ-UHFFFAOYSA-N;CCCCCCC;COc1ccccc1;-4.02737304
CYRMSUTZVYGINF-UHFFFAOYSA-N;SECXISVLQFMRJM-UHFFFAOYSA-N;C(F)(Cl)(Cl)Cl;CN1CCCC1=O;-2.56484442
UHOVQNZJYSORNB-UHFFFAOYSA-N;FXHOOIRPVKKKFG-UHFFFAOYSA-N;c1ccccc1;CC(=O)N(C)C;-4.46115045
UGFAIRIUMAVXCW-UHFFFAOYSA-N;UAEPNZWRGJTJPN-UHFFFAOYSA-N;[C-]#[O+];CC1CCCCC1;0.85948347
ULYZAYCEDJDHCC-UHFFFAOYSA-N;DCAYPVUWAIABOU-UHFFFAOYSA-N;CC(C)Cl;CCCCCCCCCCCCCCCC;-2.68752894
PVWOIHVRPOBWPI-UHFFFAOYSA-N;GQEZCXVZFLOKMC-UHFFFAOYSA-N;CCCI;CCCCCCCCCCCCCCC=C;-4.15859013
UGFAIRIUMAVXCW-UHFFFAOYSA-N;KXKVLQRXCPHEJC-UHFFFAOYSA-N;[C-]#[O+];CC(=O)OC;0.78845559
DNIAPMSPPWPWGF-UHFFFAOYSA-N;DNIAPMSPPWPWGF-UHFFFAOYSA-N;CC(CO)O;CC(CO)O;-8.57707773
OCJBOOLMMGQPQU-UHFFFAOYSA-N;IMNFDUFMRHMDMM-UHFFFAOYSA-N;c1cc(ccc1Cl)Cl;CCCCCCC;-5.8090659
KAESVJOAVNADME-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;c1cc[nH]c1;O;-4.78
HVTICUPFWKNHNG-UHFFFAOYSA-N;BDERNNFJNOPAEC-UHFFFAOYSA-N;CCI;CCCO;-3.49258845
